+------------------------------------------+----------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+-----------------------------+-------------------------------------------------------+-----------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                                                |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                                                                                                        |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                                                                                                      |
| *** ALSO ***                                                                                                                                                                                                                                                                                                                                   |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                                                                                                      |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                                                                                                       |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                                                                                                      |
+------------------------------------------+----------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+-----------------------------+-------------------------------------------------------+-----------------------------------------------------------+
| Mod name                                 | Registry name                                      | Item ID | Meta/dmg | Subtypes | Display name                                                 | Tool classes                | Harvest levels                                        | Ore Dict keys                                             |
+------------------------------------------+----------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+-----------------------------+-------------------------------------------------------+-----------------------------------------------------------+
| Admin Shop                               | adminshop:atm                                      |    4582 |        0 |    false | ATM                                                          |                             |                                                       |                                                           |
| Admin Shop                               | adminshop:buyer                                    |    4583 |        0 |    false | Auto Buyer                                                   |                             |                                                       |                                                           |
| Admin Shop                               | adminshop:check                                    |    4579 |        0 |    false | Check                                                        |                             |                                                       |                                                           |
| Admin Shop                               | adminshop:seller                                   |    4581 |        0 |    false | Seller                                                       |                             |                                                       |                                                           |
| Admin Shop                               | adminshop:shop                                     |    4580 |        0 |    false | Shop                                                         |                             |                                                       |                                                           |
| Antique Atlas                            | antiqueatlas:antique_atlas                         |    4593 |        0 |     true | Antique Atlas #0                                             |                             |                                                       |                                                           |
| Antique Atlas                            | antiqueatlas:empty_antique_atlas                   |    4592 |        0 |    false | Empty Antique Atlas                                          |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_badger          |    5334 |        0 |    false | item.betteranimalsplus.advancement_icon_badger.name          |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_goat            |    5330 |        0 |    false | item.betteranimalsplus.advancement_icon_goat.name            |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_jellyfish       |    5328 |        0 |    false | item.betteranimalsplus.advancement_icon_jellyfish.name       |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_jellyfish_cross |    5329 |        0 |    false | item.betteranimalsplus.advancement_icon_jellyfish_cross.name |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_lamprey         |    5332 |        0 |    false | item.betteranimalsplus.advancement_icon_lamprey.name         |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_shark           |    5331 |        0 |    false | item.betteranimalsplus.advancement_icon_shark.name           |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_squirrel        |    5333 |        0 |    false | item.betteranimalsplus.advancement_icon_squirrel.name        |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:advancement_icon_succening       |    5335 |        0 |    false | item.betteranimalsplus.advancement_icon_succening.name       |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:antler                           |    5291 |        0 |    false | Antler                                                       |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bear_cape_black                  |    5313 |        0 |    false | Bear Cape (Black)                                            |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bear_cape_brown                  |    5312 |        0 |    false | Bear Cape (Brown)                                            |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bear_cape_kermode                |    5314 |        0 |    false | Bear Cape (Kermode)                                          |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bear_skin_black                  |    5310 |        0 |    false | Black Bear Skin                                              |                             |                                                       | peltBear,peltBearBlack,skinBear,skinBearBlack             |
| Better Animals Plus                      | betteranimalsplus:bear_skin_brown                  |    5309 |        0 |    false | Brown Bear Skin                                              |                             |                                                       | peltBear,peltBearBrown,skinBear,skinBearBrown             |
| Better Animals Plus                      | betteranimalsplus:bear_skin_kermode                |    5311 |        0 |    false | Kermode Bear Skin                                            |                             |                                                       | peltBear,peltBearKermode,skinBear,skinBearKermode         |
| Better Animals Plus                      | betteranimalsplus:bearhead                         |    5267 |        0 |    false | item.null.name                                               |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bearhead_1                       |    5268 |        0 |    false | Bear Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bearhead_2                       |    5269 |        0 |    false | Bear Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:bearhead_3                       |    5270 |        0 |    false | Bear Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:blubber                          |    5292 |        0 |    false | Blubber                                                      |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:boarhead                         |    5262 |        0 |    false | item.null.name                                               |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:boarhead_1                       |    5263 |        0 |    false | Boar Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:boarhead_2                       |    5264 |        0 |    false | Boar Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:boarhead_3                       |    5265 |        0 |    false | Boar Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:boarhead_4                       |    5266 |        0 |    false | Boar Head                                                    |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:coyotehead                       |    5255 |        0 |    false | item.null.name                                               |                             |                                                       |                                                           |
| Better Animals Plus                      | betteranimalsplus:coyotehead_1                     |    5256 |        0 |    false | Coyote Head                                                  |                             |                                                       |                                                           |
